,fourth_downs_rate_awayAvg,def_st_td_homeAvg,def_st_td_awayAvg,def_st_td_opp_awayAvg,def_st_td_opp_homeAvg,score_diff_homeAvg,score_diff_awayAvg,home,away,winner,date
0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,Giants,49ers,0,2002-09-05
1,0.0,0.0,2.0,0.0,2.0,-6.0,6.0,Bills,Jets,0,2002-09-08
2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,Bears,Vikings,1,2002-09-08
3,0.0,0.0,0.0,0.0,0.0,-28.0,28.0,Bengals,Chargers,0,2002-09-08
4,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,Browns,Chiefs,0,2002-09-08
5,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Packers,Falcons,1,2002-09-08
6,1.0,0.0,0.0,0.0,0.0,3.0,-3.0,Titans,Eagles,1,2002-09-08
7,0.0,2.0,0.0,2.0,0.0,28.0,-28.0,Dolphins,Lions,1,2002-09-08
8,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,Washington,Cardinals,1,2002-09-08
9,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Panthers,Ravens,1,2002-09-08
10,0.0,0.0,2.0,0.0,2.0,-3.0,3.0,Jaguars,Colts,0,2002-09-08
11,0.0,0.0,0.0,0.0,0.0,7.0,-7.0,Broncos,Rams,1,2002-09-08
12,1.0,0.0,0.0,0.0,0.0,14.0,-14.0,Raiders,Seahawks,1,2002-09-08
13,0.0,0.0,2.0,0.0,2.0,-6.0,6.0,Buccaneers,Saints,0,2002-09-08
14,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,Texans,Cowboys,1,2002-09-08
15,1.0,0.0,0.0,0.0,0.0,16.0,-16.0,Patriots,Steelers,1,2002-09-09
16,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,Falcons,Bears,0,2002-09-15
17,0.0,0.0,0.0,0.0,0.0,13.0,-13.0,Browns,Bengals,1,2002-09-15
18,0.5,2.0,0.0,2.0,0.0,8.0,-8.0,Cowboys,Titans,1,2002-09-15
19,0.0,0.0,0.0,0.0,0.0,-8.0,8.0,Colts,Dolphins,0,2002-09-15
20,1.0,0.0,0.0,0.0,0.0,-7.0,7.0,Chiefs,Jaguars,0,2002-09-15
21,0.0,2.0,0.0,2.0,0.0,15.0,-15.0,Saints,Packers,1,2002-09-15
22,1.0,0.0,4.0,0.0,4.0,-37.0,37.0,Jets,Patriots,0,2002-09-15
23,0.0,2.0,0.0,2.0,0.0,24.0,-24.0,Panthers,Lions,1,2002-09-15
24,0.0,0.0,3.0,0.0,3.0,-25.0,25.0,Ravens,Buccaneers,0,2002-09-15
25,0.0,0.0,2.0,0.0,2.0,-5.0,5.0,Rams,Giants,0,2002-09-15
26,0.0,0.0,1.0,0.0,1.0,-11.0,11.0,Seahawks,Cardinals,0,2002-09-15
27,0.0,0.0,3.0,0.0,3.0,-6.0,6.0,Vikings,Bills,0,2002-09-15
28,0.5,2.0,0.0,2.0,0.0,21.0,-21.0,Chargers,Texans,1,2002-09-15
29,0.0,0.0,0.0,0.0,0.0,-10.0,10.0,49ers,Broncos,0,2002-09-15
30,0.0,0.0,1.0,0.0,1.0,-13.0,13.0,Steelers,Raiders,0,2002-09-15
31,0.0,1.0,0.0,1.0,0.0,-30.0,30.0,Washington,Eagles,0,2002-09-16
32,0.0,0.0,0.0,0.0,0.0,-6.0,6.0,Bears,Saints,0,2002-09-22
33,0.0,2.0,1.0,2.0,1.0,-3.0,3.0,Titans,Browns,0,2002-09-22
34,1.0,0.0,0.0,0.0,0.0,27.0,-27.0,Dolphins,Jets,1,2002-09-22
35,0.0,0.0,0.0,0.0,0.0,-7.0,7.0,Vikings,Panthers,0,2002-09-22
36,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Patriots,Chiefs,1,2002-09-22
37,0.0,0.0,1.0,0.0,1.0,31.0,-31.0,Eagles,Cowboys,1,2002-09-22
38,0.0,0.0,0.0,0.0,0.0,-20.0,20.0,Texans,Colts,0,2002-09-22
39,0.0,2.0,0.0,2.0,0.0,5.0,-5.0,Broncos,Bills,1,2002-09-22
40,0.0,0.0,2.0,0.0,2.0,-8.0,8.0,Cardinals,Chargers,0,2002-09-22
41,0.0,1.0,2.0,1.0,2.0,-6.0,6.0,Lions,Packers,0,2002-09-22
42,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Giants,Seahawks,1,2002-09-22
43,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,49ers,Washington,1,2002-09-22
44,0.0,0.0,0.0,0.0,0.0,27.0,-27.0,Falcons,Bengals,1,2002-09-22
45,1.0,2.0,0.0,2.0,0.0,12.0,-12.0,Buccaneers,Rams,1,2002-09-23
46,0.0,0.0,2.0,0.0,2.0,6.0,-6.0,Bills,Bears,1,2002-09-29
47,0.0,2.0,0.0,2.0,0.0,5.0,-5.0,Lions,Saints,1,2002-09-29
48,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Packers,Panthers,1,2002-09-29
49,0.0,0.0,0.0,0.0,0.0,18.0,-18.0,Chiefs,Dolphins,1,2002-09-29
50,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,Rams,Cowboys,0,2002-09-29
51,0.5,0.0,0.0,0.0,0.0,18.0,-18.0,Eagles,Texans,1,2002-09-29
52,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Steelers,Browns,1,2002-09-29
53,0.0,0.0,0.0,0.0,0.0,25.0,-25.0,Jaguars,Jets,1,2002-09-29
54,0.0,2.0,2.0,2.0,2.0,-28.0,28.0,Bengals,Buccaneers,0,2002-09-29
55,0.3333333333333333,2.0,0.0,2.0,0.0,14.0,-14.0,Cardinals,Giants,1,2002-09-29
56,0.0,4.0,0.0,4.0,0.0,27.0,-27.0,Raiders,Titans,1,2002-09-29
57,0.5,0.0,0.0,0.0,0.0,7.0,-7.0,Chargers,Patriots,1,2002-09-29
58,0.25,2.0,0.0,2.0,0.0,25.0,-25.0,Seahawks,Vikings,1,2002-09-29
59,1.0,0.0,0.0,0.0,0.0,11.0,-11.0,Ravens,Broncos,1,2002-09-30
60,1.0,0.0,2.0,0.0,2.0,-14.0,14.0,Falcons,Buccaneers,0,2002-10-06
61,0.0,0.0,2.0,0.0,2.0,-18.0,18.0,Bills,Raiders,0,2002-10-06
62,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,Cowboys,Giants,0,2002-10-06
63,0.0,0.0,0.0,0.0,0.0,-17.0,17.0,Titans,Washington,0,2002-10-06
64,0.6666666666666666,0.0,0.0,0.0,0.0,7.0,-7.0,Colts,Bengals,1,2002-10-06
65,0.0,0.0,0.0,0.0,0.0,13.0,-13.0,Dolphins,Patriots,1,2002-10-06
66,1.0,0.0,0.0,0.0,0.0,3.0,-3.0,Saints,Steelers,1,2002-10-06
